Tileposition,Tile,Rod,Family
3,47,Jazz,DRxDR
13,48,Jazz,DRxDR
6,52,97,DRxDR
11,59,144,DRxDR
15,60,92,DRxDR
3,61,143,DRxDR
10,62,145,DRxDR
3,63,Rod79 weirdo,DRxDR
10,64,142,DRxDR
1,65,141,DRxDR
4,66,144,DRxDR
6,67,142,DRxDR
10,68,143,DRxDR
1,69,Hope,DRxDR
2,70,140,DRxDR
2,71,139,DRxDR
2,72,137,DRxDR
4,73,135,DRxDR
5,74,136,DRxDR
11,75,133,DRxDR
1,76,136,DRxDR
10,77,140,DRxDR
4,78,141,DRxDR
10,79,111,DRxDR
10,80,112,DRxDR
7,81,107,DRxDR
14,82,109,DRxDR
4,84,110,DRxDR
5,85,138,DRxDR
11,86,77,DRxDR
8,87,80,DRxDR
8,88,78,DRxDR
5,89,74,DRxDR
3,90,87,DRxDR
,91,,DRxDR
10,92,82,DRxDR
4,93,76,DRxDR
10,94,83,DRxDR
8,95,72,DRxDR
11,96,84,DRxDR
5,97,81,DRxDR
9,98,75,DRxDR
9,99,79,DRxDR
4,100,73,DRxDR
9,101,133,DRxDR
5,102,137,DRxDR
6,103,139,DRxDR
8,104,134,DRxDR
2,105,135,DRxDR
2,106,134,DRxDR
1,107,138,DRxDR
1,108,144,DRxDR
14,109,85,DRxDR
6,110,91,DRxDR
3,111,88,DRxDR
2,112,95,DRxDR
3,113,94,DRxDR
3,114,93,DRxDR
8,115,86,DRxDR
10,116,89,DRxDR
2,117,98,DRxDR
15,118,90,DRxDR
10,119,121,DRxDR
9,121,101,DRxDR
12,122,103,DRxDR
3,123,106,DRxDR
6,124,124,DRxDR
8,125,96,DRxDR
11,126,102,DRxDR
10,127,131,DRxDR
6,128,125,DRxDR
1,129,99,DRxDR
7,130,122,DRxDR
12,131,130,DRxDR
5,132,100,DRxDR
8,133,104,DRxDR
8,134,105,DRxDR
12,135,132,DRxDR
2,1,99,DRxSB
13,2,91,DRxSB
5,3,101,DRxSB
1,4,97,DRxSB
1,5,100,DRxSB
1,6,88,DRxSB
8,7,92,DRxSB
7,8,89,DRxSB
1,9,96,DRxSB
10,10,87,DRxSB
16,11,90,DRxSB
3,12,98,DRxSB
15,13,93,DRxSB
9,14,84,DRxSB
11,15,80,DRxSB
5,16,78,DRxSB
8,17,75,DRxSB
3,18,76,DRxSB
13,19,73,DRxSB
3,20,85,DRxSB
4,21,72,DRxSB
15,22,77,DRxSB
3,23,82,DRxSB
3,24,74,DRxSB
5,25,79,DRxSB
9,26,111,DRxSB
6,27,118,DRxSB
8,28,103,DRxSB
5,29,116,DRxSB
9,30,102,DRxSB
6,31,119,DRxSB
12,32,106,DRxSB
13,33,105,DRxSB
10,34,110,DRxSB
9,35,104,DRxSB
4,36,115,DRxSB
1,37,121,DRxSB
2,38,117,DRxSB
2,39,81,DRxSB
2,40,83,DRxSB
5,41,120,DRxSB
7,42,86,DRxSB
8,43,109,DRxSB
3,44,123,DRxSB
9,45,107,DRxSB
13,46,127,DRxSB
8,47,108,DRxSB
2,48,114,DRxSB
4,49,112,DRxSB
8,50,124,DRxSB
7,51,125,DRxSB
1,52,126,DRxSB
4,53,95,DRxSB
2,54,94,DRxSB
8,55,122,DRxSB
3,58,113,DRxSB
12,1,87,LSxBK
11,2,99,LSxBK
15,3,106,LSxBK
13,4,97,LSxBK
11,5,92,LSxBK
3,6,96,LSxBK
11,7,89,LSxBK
13,8,93,LSxBK
9,9,90,LSxBK
14,10,100,LSxBK
8,11,98,LSxBK
6,12,88,LSxBK
6,13,94,LSxBK
6,14,95,LSxBK
14,15,91,LSxBK
8,16,74,LSxBK
12,17,80,LSxBK
16,18,77,LSxBK
13,19,72,LSxBK
4,20,81,LSxBK
12,21,82,LSxBK
3,22,73,LSxBK
7,23,78,LSxBK
14,24,76,LSxBK
2,25,75,LSxBK
8,26,79,LSxBK
6,27,109,LSxBK
8,28,112,LSxBK
5,29,114,LSxBK
6,30,115,LSxBK
8,31,113,LSxBK
6,32,111,LSxBK
12,33,84,LSxBK
12,34,85,LSxBK
13,35,83,LSxBK
11,36,110,LSxBK
11,37,86,LSxBK
14,38,107,LSxBK
10,39,108,LSxBK
2,40,116,LSxBK
6,41,102,LSxBK
15,42,104,LSxBK
11,43,101,LSxBK
11,44,105,LSxBK
11,45,103,LSxBK
9,87,124,LSxBK
4,103,125,LSxBK
9,107,123,LSxBK
11,132,126,LSxBK
6,1,133,LSxLS
10,2,99,LSxLS
10,26,120,LSxLS
6,3,130,LSxLS
6,4,134,LSxLS
7,5,132,LSxLS
8,6,131,LSxLS
11,7,131,LSxLS
6,8,122,LSxLS
9,9,137,LSxLS
9,10,136,LSxLS
6,11,128,LSxLS
4,12,137,LSxLS
14,13,127,LSxLS
6,14,136,LSxLS
4,15,132,LSxLS
9,16,134,LSxLS
12,17,135,LSxLS
3,18,116,LSxLS
5,19,90,LSxLS
2,20,113,LSxLS
15,21,82,LSxLS
3,22,114,LSxLS
10,23,127,LSxLS
8,24,117,LSxLS
8,25,135,LSxLS
7,27,119,LSxLS
1,28,86,LSxLS
4,29,107,LSxLS
2,30,110,LSxLS
10,31,141,LSxLS
12,32,143,LSxLS
6,33,144,LSxLS
5,34,145,LSxLS
9,35,144,LSxLS
8,37,143,LSxLS
3,38,142,LSxLS
11,39,142,LSxLS
14,40,Hope,LSxLS
13,41,Hope,LSxLS
15,42,Hope,LSxLS
12,43,141,LSxLS
1,44,93,LSxLS
5,45,88,LSxLS
5,46,95,LSxLS
3,47,Jazz,LSxLS
6,48,89,LSxLS
10,49,84,LSxLS
8,50,100,LSxLS
12,51,94,LSxLS
12,52,92,LSxLS
12,53,91,LSxLS
12,54,83,LSxLS
5,55,87,LSxLS
2,56,101,LSxLS
11,58,Rod79 weirdo,LSxLS
1,59,Rod79 weirdo,LSxLS
7,60,Rod79 weirdo,LSxLS
2,62,Rod79 weirdo,LSxLS
3,63,Rod79 weirdo,LSxLS
1,64,147,LSxLS
2,65,Hope,LSxLS
3,67,148,LSxLS
1,69,145,LSxLS
7,70,150,LSxLS
9,74,Hope,LSxLS
3,76,Hope,LSxLS
1,77,148,LSxLS
11,78,147,LSxLS
11,80,108,LSxLS
5,81,109,LSxLS
3,82,121,LSxLS
1,83,111,LSxLS
2,84,112,LSxLS
10,85,125,LSxLS
1,86,118,LSxLS
9,87,124,LSxLS
2,88,115,LSxLS
15,89,80,LSxLS
2,90,77,LSxLS
6,91,78,LSxLS
1,92,75,LSxLS
10,93,72,LSxLS
6,94,76,LSxLS
2,95,79,LSxLS
15,96,73,LSxLS
11,97,74,LSxLS
8,99,81,LSxLS
2,101,124,LSxLS
12,102,129,LSxLS
4,103,125,LSxLS
4,104,133,LSxLS
11,105,128,LSxLS
9,106,130,LSxLS
8,108,129,LSxLS
7,109,149,LSxLS
11,110,151,LSxLS
15,111,96,LSxLS
14,112,151,LSxLS
14,113,146,LSxLS
1,114,149,LSxLS
10,115,149,LSxLS
5,116,151,LSxLS
2,117,150,LSxLS
8,118,146,LSxLS
12,119,150,LSxLS
13,120,140,LSxLS
11,121,138,LSxLS
8,122,139,LSxLS
7,123,105,LSxLS
7,124,103,LSxLS
6,125,106,LSxLS
13,126,139,LSxLS
15,127,98,LSxLS
14,128,97,LSxLS
11,129,140,LSxLS
13,130,138,LSxLS
6,131,104,LSxLS
11,132,126,LSxLS
15,133,102,LSxLS
13,134,126,LSxLS
9,1,74,LSxSB
14,2,84,LSxSB
14,3,80,LSxSB
